id,category,type,theme,primaryQuestion,primaryAnswer,secondaryQuestion,secondaryAnswer,imagePath,draw
Q1,General Knowledge,main,Geography,"What is the capital of Australia?","Canberra","","","",
Q2,General Knowledge,main,Science,"How many planets are in our solar system?","8","","","",
Q3,General Knowledge,main,Geography,"Which country has the longest coastline in the world?","Canada","","","",
Q4,General Knowledge,main,Language,"What is the most spoken language in Brazil?","Portuguese","","","",
Q5,General Knowledge,main,Science,"What is the chemical symbol for gold?","Au","","","",
Q6,General Knowledge,main,Geography,"What is the largest ocean on Earth?","The Pacific Ocean","","","",
Q7,General Knowledge,main,History,"In what year did World War II end?","1945","","","",
Q8,General Knowledge,main,Science,"How many bones are in the adult human body?","206","","","",
Q9,General Knowledge,tiebreaker,Science,"What is the approximate speed of light?","300,000 km/s","","","",
Q10,General Knowledge,tiebreaker,Geography,"What is the longest river in the world?","The Nile (or Amazon)","","","",
Q11,General Knowledge,tiebreaker,Language,"How many letters are in the English alphabet?","26","","","",
Q12,General Knowledge,backup,History,"What is the name of the ship that sank in 1912?","The Titanic","","","",
Q13,General Knowledge,backup,Science,"What planet is known as the Red Planet?","Mars","","","",
Q14,Science & Nature,main,Animals,"What is the largest land animal on Earth?","African Elephant","","","",
Q15,Science & Nature,main,Plants,"What gas do plants absorb from the air during photosynthesis?","Carbon dioxide (CO2)","","","",
Q16,Science & Nature,main,Animals,"How many legs does a spider have?","8","","","",
Q17,Science & Nature,main,Environment,"What percentage of the Earth is covered by oceans (approximately)?","71%","","","",
Q18,Science & Nature,main,Animals,"What is the fastest land animal?","Cheetah","","","",
Q19,Science & Nature,main,Plants,"What is the process by which plants make food using sunlight?","Photosynthesis","","","",
Q20,Science & Nature,main,Environment,"What do you call the layer of gas that surrounds the Earth?","The atmosphere","","","",
Q21,Science & Nature,main,Animals,"Which bird cannot fly but can swim?","Penguin","","","",
Q22,Science & Nature,tiebreaker,Environment,"What is the name of the gas that makes up most of Earth's atmosphere?","Nitrogen","","","",
Q23,Science & Nature,tiebreaker,Animals,"How many hearts does an octopus have?","3","","","",
Q24,Science & Nature,tiebreaker,Plants,"What is the tallest type of tree in the world?","Coast Redwood (or Giant Sequoia)","","","",
Q25,Science & Nature,backup,Animals,"What do you call a group of lions?","A pride","","","",
Q26,Science & Nature,backup,Environment,"What is the main cause of the greenhouse effect?","Greenhouse gases (CO2, methane, etc.)","","","",
Q27,History & Culture,main,History,"In which country was democracy first developed?","Ancient Greece","","","",
Q28,History & Culture,main,Music,"Which composer wrote the ""Moonlight Sonata""?","Ludwig van Beethoven","","","",
Q29,History & Culture,main,History,"Who was the first person to walk on the Moon?","Neil Armstrong","","","",
Q30,History & Culture,main,Art,"In which Italian city is the Colosseum located?","Rome","","","",
Q31,History & Culture,main,History,"What ancient wonder of the world was located in Alexandria?","The Lighthouse of Alexandria","","","",
Q32,History & Culture,main,Music,"What nationality was Wolfgang Amadeus Mozart?","Austrian","","","",
Q33,History & Culture,main,History,"Which country gifted the Statue of Liberty to the United States?","France","","","",
Q34,History & Culture,main,Art,"Who painted the Mona Lisa?","Leonardo da Vinci","","","",
Q35,History & Culture,tiebreaker,History,"In what year did Australia become a federation?","1901","","","",
Q36,History & Culture,tiebreaker,Music,"What is the name of the instrument with 88 keys?","Piano","","","",
Q37,History & Culture,tiebreaker,Art,"Which country is the Eiffel Tower located in?","France","","","",
Q38,History & Culture,backup,History,"Who wrote the play Romeo and Juliet?","William Shakespeare","","","",
Q39,History & Culture,backup,Music,"What does ""forte"" mean in music?","Loud","","","",
